"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/positive_lh_rate","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/positive_lh_rate__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/positive_lh_rate__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"0","0.24623115577889448","0.24623115577889448","0.24623115577889448","2","2","2"
"1","0.8486486486486486","0.8486486486486486","0.8486486486486486","56","56","56"
"2","0.21649484536082475","0.21649484536082475","0.21649484536082475","110","110","110"
"3","0.28125","0.28125","0.28125","164","164","164"
"4","0.2712765957446808","0.2712765957446808","0.2712765957446808","218","218","218"
"5","0.3010752688172043","0.3010752688172043","0.3010752688172043","272","272","272"
"6","0.28078817733990147","0.28078817733990147","0.28078817733990147","326","326","326"
"7","0.8686868686868687","0.8686868686868687","0.8686868686868687","380","380","380"
"8","0.26570048309178745","0.26570048309178745","0.26570048309178745","434","434","434"
"9","0.826530612244898","0.826530612244898","0.826530612244898","488","488","488"
"10","0.8611111111111112","0.8611111111111112","0.8611111111111112","542","542","542"
"11","0.8803827751196173","0.8803827751196173","0.8803827751196173","596","596","596"
"12","0.26666666666666666","0.26666666666666666","0.26666666666666666","650","650","650"
"13","0.2524271844660194","0.2524271844660194","0.2524271844660194","704","704","704"
"14","0.2926829268292683","0.2926829268292683","0.2926829268292683","758","758","758"
"15","0.26570048309178745","0.26570048309178745","0.26570048309178745","812","812","812"
"16","0.2702702702702703","0.2702702702702703","0.2702702702702703","866","866","866"
"17","0.22535211267605634","0.22535211267605634","0.22535211267605634","920","920","920"
"18","0.28125","0.28125","0.28125","974","974","974"
"19","0.2922374429223744","0.2922374429223744","0.2922374429223744","1028","1028","1028"
"20","0.8525345622119815","0.8525345622119815","0.8525345622119815","1082","1082","1082"
"21","0.27555555555555555","0.27555555555555555","0.27555555555555555","1136","1136","1136"
"22","0.28888888888888886","0.28888888888888886","0.28888888888888886","1190","1190","1190"
"23","0.26991150442477874","0.26991150442477874","0.26991150442477874","1244","1244","1244"
"24","0.8295964125560538","0.8295964125560538","0.8295964125560538","1298","1298","1298"
"25","0.2831858407079646","0.2831858407079646","0.2831858407079646","1352","1352","1352"
"26","0.2850877192982456","0.2850877192982456","0.2850877192982456","1406","1406","1406"
"27","0.2543859649122807","0.2543859649122807","0.2543859649122807","1460","1460","1460"
"28","0.8672566371681416","0.8672566371681416","0.8672566371681416","1514","1514","1514"
"29","1","1","1","1568","1568","1568"
"30","0.2966101694915254","0.2966101694915254","0.2966101694915254","1622","1622","1622"
"31","0.27391304347826084","0.27391304347826084","0.27391304347826084","1676","1676","1676"
"32","0.26382978723404255","0.26382978723404255","0.26382978723404255","1730","1730","1730"
"33","0.2768595041322314","0.2768595041322314","0.2768595041322314","1784","1784","1784"
"34","0.27983539094650206","0.27983539094650206","0.27983539094650206","1838","1838","1838"
"35","0.26141078838174275","0.26141078838174275","0.26141078838174275","1892","1892","1892"
"36","0.3103448275862069","0.3103448275862069","0.3103448275862069","1946","1946","1946"
"37","0.29831932773109243","0.29831932773109243","0.29831932773109243","2000","2000","2000"
"38","0.27615062761506276","0.27615062761506276","0.27615062761506276","2054","2054","2054"
"39","0.2719665271966527","0.2719665271966527","0.2719665271966527","2108","2108","2108"
"40","0.2757201646090535","0.2757201646090535","0.2757201646090535","2162","2162","2162"
"41","0.3","0.3","0.3","2216","2216","2216"
"42","0.2727272727272727","0.2727272727272727","0.2727272727272727","2270","2270","2270"
"43","0.8925619834710744","0.8925619834710744","0.8925619834710744","2324","2324","2324"
"44","0.8734693877551021","0.8734693877551021","0.8734693877551021","2378","2378","2378"
"45","0.8847736625514403","0.8847736625514403","0.8847736625514403","2432","2432","2432"
"46","0.2540322580645161","0.2540322580645161","0.2540322580645161","2486","2486","2486"
"47","0.27309236947791166","0.27309236947791166","0.27309236947791166","2540","2540","2540"
"48","0.2931726907630522","0.2931726907630522","0.2931726907630522","2594","2594","2594"
"49","0.2886178861788618","0.2886178861788618","0.2886178861788618","2648","2648","2648"
"50","0.9007936507936508","0.9007936507936508","0.9007936507936508","2702","2702","2702"
"51","0.2788844621513944","0.2788844621513944","0.2788844621513944","2756","2756","2756"
"52","0.9053497942386831","0.9053497942386831","0.9053497942386831","2810","2810","2810"
"53","0.29959514170040485","0.29959514170040485","0.29959514170040485","2864","2864","2864"
"54","0.2809917355371901","0.2809917355371901","0.2809917355371901","2918","2918","2918"
"55","0.28225806451612906","0.28225806451612906","0.28225806451612906","2972","2972","2972"
"56","0.27309236947791166","0.27309236947791166","0.27309236947791166","3026","3026","3026"
"57","0.276","0.276","0.276","3080","3080","3080"
"58","0.2782258064516129","0.2782258064516129","0.2782258064516129","3134","3134","3134"
"59","0.2891566265060241","0.2891566265060241","0.2891566265060241","3188","3188","3188"
"60","0.2782258064516129","0.2782258064516129","0.2782258064516129","3242","3242","3242"
"61","0.3048780487804878","0.3048780487804878","0.3048780487804878","3296","3296","3296"
"62","0.8582995951417004","0.8582995951417004","0.8582995951417004","3350","3350","3350"
"63","0.28225806451612906","0.28225806451612906","0.28225806451612906","3404","3404","3404"
"64","0.27125506072874495","0.27125506072874495","0.27125506072874495","3458","3458","3458"
"65","0.27309236947791166","0.27309236947791166","0.27309236947791166","3512","3512","3512"
"66","0.8858267716535433","0.8858267716535433","0.8858267716535433","3566","3566","3566"
"67","0.8779527559055118","0.8779527559055118","0.8779527559055118","3620","3620","3620"
"68","0.27710843373493976","0.27710843373493976","0.27710843373493976","3674","3674","3674"
"69","0.27419354838709675","0.27419354838709675","0.27419354838709675","3728","3728","3728"
"70","0.29880478087649404","0.29880478087649404","0.29880478087649404","3782","3782","3782"
"71","0.2782258064516129","0.2782258064516129","0.2782258064516129","3836","3836","3836"
"72","0.27710843373493976","0.27710843373493976","0.27710843373493976","3890","3890","3890"
"73","0.28225806451612906","0.28225806451612906","0.28225806451612906","3944","3944","3944"
"74","0.892","0.892","0.892","3998","3998","3998"
"75","0.2885375494071146","0.2885375494071146","0.2885375494071146","4052","4052","4052"
"76","0.2766798418972332","0.2766798418972332","0.2766798418972332","4106","4106","4106"
"77","0.276","0.276","0.276","4160","4160","4160"
"78","0.28286852589641437","0.28286852589641437","0.28286852589641437","4214","4214","4214"
"79","0.2857142857142857","0.2857142857142857","0.2857142857142857","4268","4268","4268"
"80","0.2766798418972332","0.2766798418972332","0.2766798418972332","4322","4322","4322"
"81","0.2450592885375494","0.2450592885375494","0.2450592885375494","4376","4376","4376"
"82","0.272","0.272","0.272","4430","4430","4430"
"83","0.2766798418972332","0.2766798418972332","0.2766798418972332","4484","4484","4484"
"84","0.26907630522088355","0.26907630522088355","0.26907630522088355","4538","4538","4538"
"85","0.8823529411764706","0.8823529411764706","0.8823529411764706","4592","4592","4592"
"86","0.8893280632411067","0.8893280632411067","0.8893280632411067","4646","4646","4646"
"87","0.28","0.28","0.28","4700","4700","4700"
"88","0.26877470355731226","0.26877470355731226","0.26877470355731226","4754","4754","4754"
"89","0.2608695652173913","0.2608695652173913","0.2608695652173913","4808","4808","4808"
"90","0.8911290322580645","0.8911290322580645","0.8911290322580645","4862","4862","4862"
"91","0.9011857707509882","0.9011857707509882","0.9011857707509882","4916","4916","4916"
"92","0.27165354330708663","0.27165354330708663","0.27165354330708663","4970","4970","4970"
"93","0.2891566265060241","0.2891566265060241","0.2891566265060241","5024","5024","5024"
"94","0.8943089430894309","0.8943089430894309","0.8943089430894309","5078","5078","5078"
"95","0.2976190476190476","0.2976190476190476","0.2976190476190476","5132","5132","5132"
"96","0.3107569721115538","0.3107569721115538","0.3107569721115538","5186","5186","5186"
"97","0.9163346613545816","0.9163346613545816","0.9163346613545816","5240","5240","5240"
"98","0.9206349206349206","0.9206349206349206","0.9206349206349206","5294","5294","5294"
"99","0.28627450980392155","0.28627450980392155","0.28627450980392155","5348","5348","5348"
"100","0.9196787148594378","0.9196787148594378","0.9196787148594378","5402","5402","5402"
"101","0.2788844621513944","0.2788844621513944","0.2788844621513944","5456","5456","5456"
"102","0.2559055118110236","0.2559055118110236","0.2559055118110236","5510","5510","5510"
"103","0.2619047619047619","0.2619047619047619","0.2619047619047619","5564","5564","5564"
"104","0.29435483870967744","0.29435483870967744","0.29435483870967744","5618","5618","5618"
"105","0.23715415019762845","0.23715415019762845","0.23715415019762845","5672","5672","5672"
"106","0.2677165354330709","0.2677165354330709","0.2677165354330709","5726","5726","5726"
"107","0.26953125","0.26953125","0.26953125","5780","5780","5780"
"108","0.9036144578313253","0.9036144578313253","0.9036144578313253","5834","5834","5834"
"109","0.2620967741935484","0.2620967741935484","0.2620967741935484","5888","5888","5888"
"110","0.27734375","0.27734375","0.27734375","5942","5942","5942"
"111","0.9173228346456693","0.9173228346456693","0.9173228346456693","5996","5996","5996"
"112","0.2823529411764706","0.2823529411764706","0.2823529411764706","6050","6050","6050"
"113","0.2559055118110236","0.2559055118110236","0.2559055118110236","6104","6104","6104"
"114","0.9051383399209486","0.9051383399209486","0.9051383399209486","6158","6158","6158"
"115","0.2845849802371542","0.2845849802371542","0.2845849802371542","6212","6212","6212"
"116","0.2777777777777778","0.2777777777777778","0.2777777777777778","6266","6266","6266"
"117","0.9140625","0.9140625","0.9140625","6320","6320","6320"
"118","0.26587301587301587","0.26587301587301587","0.26587301587301587","6374","6374","6374"
"119","0.927710843373494","0.927710843373494","0.927710843373494","6428","6428","6428"
"120","0.2896825396825397","0.2896825396825397","0.2896825396825397","6482","6482","6482"
"121","0.284","0.284","0.284","6536","6536","6536"
"122","0.932806324110672","0.932806324110672","0.932806324110672","6590","6590","6590"
"123","0.9236947791164659","0.9236947791164659","0.9236947791164659","6644","6644","6644"
"124","0.2777777777777778","0.2777777777777778","0.2777777777777778","6698","6698","6698"
"125","0.27380952380952384","0.27380952380952384","0.27380952380952384","6752","6752","6752"
"126","0.2727272727272727","0.2727272727272727","0.2727272727272727","6806","6806","6806"
"127","0.2619047619047619","0.2619047619047619","0.2619047619047619","6860","6860","6860"
"128","0.25793650793650796","0.25793650793650796","0.25793650793650796","6914","6914","6914"
"129","0.912","0.912","0.912","6968","6968","6968"
"130","0.2755905511811024","0.2755905511811024","0.2755905511811024","7022","7022","7022"
"131","0.9166666666666666","0.9166666666666666","0.9166666666666666","7076","7076","7076"
"132","0.27450980392156865","0.27450980392156865","0.27450980392156865","7130","7130","7130"
"133","0.9133858267716536","0.9133858267716536","0.9133858267716536","7184","7184","7184"
"134","0.932","0.932","0.932","7238","7238","7238"
"135","0.932","0.932","0.932","7292","7292","7292"
"136","0.27450980392156865","0.27450980392156865","0.27450980392156865","7346","7346","7346"
"137","0.27734375","0.27734375","0.27734375","7400","7400","7400"
"138","0.27309236947791166","0.27309236947791166","0.27309236947791166","7454","7454","7454"
"139","0.24609375","0.24609375","0.24609375","7508","7508","7508"
"140","0.2784313725490196","0.2784313725490196","0.2784313725490196","7562","7562","7562"
"141","0.9130434782608695","0.9130434782608695","0.9130434782608695","7616","7616","7616"
"142","0.2766798418972332","0.2766798418972332","0.2766798418972332","7670","7670","7670"
"143","0.28286852589641437","0.28286852589641437","0.28286852589641437","7724","7724","7724"
"144","0.924901185770751","0.924901185770751","0.924901185770751","7778","7778","7778"
"145","0.9285714285714286","0.9285714285714286","0.9285714285714286","7832","7832","7832"
"146","0.9372549019607843","0.9372549019607843","0.9372549019607843","7886","7886","7886"
"147","0.9330708661417323","0.9330708661417323","0.9330708661417323","7940","7940","7940"
"148","0.26877470355731226","0.26877470355731226","0.26877470355731226","7994","7994","7994"
"149","0.2283464566929134","0.2283464566929134","0.2283464566929134","8048","8048","8048"
"150","0.2727272727272727","0.2727272727272727","0.2727272727272727","8102","8102","8102"
"151","0.25","0.25","0.25","8156","8156","8156"
"152","0.27091633466135456","0.27091633466135456","0.27091633466135456","8210","8210","8210"
"153","0.9090909090909091","0.9090909090909091","0.9090909090909091","8264","8264","8264"
"154","0.9317269076305221","0.9317269076305221","0.9317269076305221","8318","8318","8318"
"155","0.2749003984063745","0.2749003984063745","0.2749003984063745","8372","8372","8372"
"156","0.2874015748031496","0.2874015748031496","0.2874015748031496","8426","8426","8426"
"157","0.2766798418972332","0.2766798418972332","0.2766798418972332","8480","8480","8480"
"158","0.26953125","0.26953125","0.26953125","8534","8534","8534"
"159","0.27091633466135456","0.27091633466135456","0.27091633466135456","8588","8588","8588"
"160","0.28125","0.28125","0.28125","8642","8642","8642"
"161","0.264","0.264","0.264","8696","8696","8696"
"162","0.28174603174603174","0.28174603174603174","0.28174603174603174","8750","8750","8750"
"163","0.250996015936255","0.250996015936255","0.250996015936255","8804","8804","8804"
"164","0.24110671936758893","0.24110671936758893","0.24110671936758893","8858","8858","8858"
"165","0.28063241106719367","0.28063241106719367","0.28063241106719367","8912","8912","8912"
"166","0.9098039215686274","0.9098039215686274","0.9098039215686274","8966","8966","8966"
"167","0.9375","0.9375","0.9375","9020","9020","9020"
"168","0.9365079365079365","0.9365079365079365","0.9365079365079365","9074","9074","9074"
"169","0.9365079365079365","0.9365079365079365","0.9365079365079365","9128","9128","9128"
"170","0.2698412698412698","0.2698412698412698","0.2698412698412698","9182","9182","9182"
"171","0.9251968503937008","0.9251968503937008","0.9251968503937008","9236","9236","9236"
"172","0.27165354330708663","0.27165354330708663","0.27165354330708663","9290","9290","9290"
"173","0.9251968503937008","0.9251968503937008","0.9251968503937008","9344","9344","9344"
"174","0.26171875","0.26171875","0.26171875","9398","9398","9398"
"175","0.25296442687747034","0.25296442687747034","0.25296442687747034","9452","9452","9452"
"176","0.27380952380952384","0.27380952380952384","0.27380952380952384","9506","9506","9506"
"177","0.9488188976377953","0.9488188976377953","0.9488188976377953","9560","9560","9560"
"178","0.9409448818897638","0.9409448818897638","0.9409448818897638","9614","9614","9614"
"179","0.25296442687747034","0.25296442687747034","0.25296442687747034","9668","9668","9668"
"180","0.9365079365079365","0.9365079365079365","0.9365079365079365","9722","9722","9722"
"181","0.2677165354330709","0.2677165354330709","0.2677165354330709","9776","9776","9776"
"182","0.2698412698412698","0.2698412698412698","0.2698412698412698","9830","9830","9830"
"183","0.2648221343873518","0.2648221343873518","0.2648221343873518","9884","9884","9884"
"184","0.2766798418972332","0.2766798418972332","0.2766798418972332","9938","9938","9938"
