"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/unique_valid_program_rate","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/unique_valid_program_rate__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/unique_valid_program_rate__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"0","0.1708542713567839","0.1708542713567839","0.1708542713567839","2","2","2"
"1","0.11891891891891893","0.11891891891891893","0.11891891891891893","56","56","56"
"2","0.15463917525773196","0.15463917525773196","0.15463917525773196","110","110","110"
"3","0.13541666666666666","0.13541666666666666","0.13541666666666666","164","164","164"
"4","0.12234042553191489","0.12234042553191489","0.12234042553191489","218","218","218"
"5","0.12903225806451613","0.12903225806451613","0.12903225806451613","272","272","272"
"6","0.10837438423645321","0.10837438423645321","0.10837438423645321","326","326","326"
"7","0.11616161616161616","0.11616161616161616","0.11616161616161616","380","380","380"
"8","0.13526570048309178","0.13526570048309178","0.13526570048309178","434","434","434"
"9","0.14285714285714285","0.14285714285714285","0.14285714285714285","488","488","488"
"10","0.10185185185185185","0.10185185185185185","0.10185185185185185","542","542","542"
"11","0.11961722488038277","0.11961722488038277","0.11961722488038277","596","596","596"
"12","0.1380952380952381","0.1380952380952381","0.1380952380952381","650","650","650"
"13","0.0970873786407767","0.0970873786407767","0.0970873786407767","704","704","704"
"14","0.1024390243902439","0.1024390243902439","0.1024390243902439","758","758","758"
"15","0.0966183574879227","0.0966183574879227","0.0966183574879227","812","812","812"
"16","0.11261261261261261","0.11261261261261261","0.11261261261261261","866","866","866"
"17","0.107981220657277","0.107981220657277","0.107981220657277","920","920","920"
"18","0.12053571428571429","0.12053571428571429","0.12053571428571429","974","974","974"
"19","0.0821917808219178","0.0821917808219178","0.0821917808219178","1028","1028","1028"
"20","0.1152073732718894","0.1152073732718894","0.1152073732718894","1082","1082","1082"
"21","0.10222222222222223","0.10222222222222223","0.10222222222222223","1136","1136","1136"
"22","0.09333333333333334","0.09333333333333334","0.09333333333333334","1190","1190","1190"
"23","0.10619469026548672","0.10619469026548672","0.10619469026548672","1244","1244","1244"
"24","0.10762331838565023","0.10762331838565023","0.10762331838565023","1298","1298","1298"
"25","0.07964601769911504","0.07964601769911504","0.07964601769911504","1352","1352","1352"
"26","0.11842105263157894","0.11842105263157894","0.11842105263157894","1406","1406","1406"
"27","0.10526315789473684","0.10526315789473684","0.10526315789473684","1460","1460","1460"
"28","0.12389380530973451","0.12389380530973451","0.12389380530973451","1514","1514","1514"
"29","0.08296943231441048","0.08296943231441048","0.08296943231441048","1568","1568","1568"
"30","0.08898305084745763","0.08898305084745763","0.08898305084745763","1622","1622","1622"
"31","0.09130434782608696","0.09130434782608696","0.09130434782608696","1676","1676","1676"
"32","0.09787234042553192","0.09787234042553192","0.09787234042553192","1730","1730","1730"
"33","0.09504132231404959","0.09504132231404959","0.09504132231404959","1784","1784","1784"
"34","0.102880658436214","0.102880658436214","0.102880658436214","1838","1838","1838"
"35","0.0912863070539419","0.0912863070539419","0.0912863070539419","1892","1892","1892"
"36","0.11206896551724138","0.11206896551724138","0.11206896551724138","1946","1946","1946"
"37","0.08823529411764706","0.08823529411764706","0.08823529411764706","2000","2000","2000"
"38","0.08786610878661087","0.08786610878661087","0.08786610878661087","2054","2054","2054"
"39","0.09205020920502092","0.09205020920502092","0.09205020920502092","2108","2108","2108"
"40","0.07818930041152264","0.07818930041152264","0.07818930041152264","2162","2162","2162"
"41","0.09583333333333334","0.09583333333333334","0.09583333333333334","2216","2216","2216"
"42","0.09504132231404959","0.09504132231404959","0.09504132231404959","2270","2270","2270"
"43","0.09090909090909091","0.09090909090909091","0.09090909090909091","2324","2324","2324"
"44","0.08571428571428572","0.08571428571428572","0.08571428571428572","2378","2378","2378"
"45","0.08641975308641975","0.08641975308641975","0.08641975308641975","2432","2432","2432"
"46","0.0846774193548387","0.0846774193548387","0.0846774193548387","2486","2486","2486"
"47","0.07228915662650602","0.07228915662650602","0.07228915662650602","2540","2540","2540"
"48","0.08835341365461848","0.08835341365461848","0.08835341365461848","2594","2594","2594"
"49","0.08943089430894309","0.08943089430894309","0.08943089430894309","2648","2648","2648"
"50","0.08333333333333333","0.08333333333333333","0.08333333333333333","2702","2702","2702"
"51","0.08764940239043825","0.08764940239043825","0.08764940239043825","2756","2756","2756"
"52","0.08641975308641975","0.08641975308641975","0.08641975308641975","2810","2810","2810"
"53","0.0931174089068826","0.0931174089068826","0.0931174089068826","2864","2864","2864"
"54","0.08677685950413223","0.08677685950413223","0.08677685950413223","2918","2918","2918"
"55","0.07661290322580645","0.07661290322580645","0.07661290322580645","2972","2972","2972"
"56","0.07630522088353414","0.07630522088353414","0.07630522088353414","3026","3026","3026"
"57","0.088","0.088","0.088","3080","3080","3080"
"58","0.10080645161290322","0.10080645161290322","0.10080645161290322","3134","3134","3134"
"59","0.05220883534136546","0.05220883534136546","0.05220883534136546","3188","3188","3188"
"60","0.056451612903225805","0.056451612903225805","0.056451612903225805","3242","3242","3242"
"61","0.08943089430894309","0.08943089430894309","0.08943089430894309","3296","3296","3296"
"62","0.09716599190283401","0.09716599190283401","0.09716599190283401","3350","3350","3350"
"63","0.06451612903225806","0.06451612903225806","0.06451612903225806","3404","3404","3404"
"64","0.0728744939271255","0.0728744939271255","0.0728744939271255","3458","3458","3458"
"65","0.08835341365461848","0.08835341365461848","0.08835341365461848","3512","3512","3512"
"66","0.0984251968503937","0.0984251968503937","0.0984251968503937","3566","3566","3566"
"67","0.07480314960629922","0.07480314960629922","0.07480314960629922","3620","3620","3620"
"68","0.07228915662650602","0.07228915662650602","0.07228915662650602","3674","3674","3674"
"69","0.0846774193548387","0.0846774193548387","0.0846774193548387","3728","3728","3728"
"70","0.06374501992031872","0.06374501992031872","0.06374501992031872","3782","3782","3782"
"71","0.06451612903225806","0.06451612903225806","0.06451612903225806","3836","3836","3836"
"72","0.08433734939759036","0.08433734939759036","0.08433734939759036","3890","3890","3890"
"73","0.08064516129032258","0.08064516129032258","0.08064516129032258","3944","3944","3944"
"74","0.088","0.088","0.088","3998","3998","3998"
"75","0.07114624505928854","0.07114624505928854","0.07114624505928854","4052","4052","4052"
"76","0.07114624505928854","0.07114624505928854","0.07114624505928854","4106","4106","4106"
"77","0.088","0.088","0.088","4160","4160","4160"
"78","0.08366533864541832","0.08366533864541832","0.08366533864541832","4214","4214","4214"
"79","0.05952380952380952","0.05952380952380952","0.05952380952380952","4268","4268","4268"
"80","0.06719367588932806","0.06719367588932806","0.06719367588932806","4322","4322","4322"
"81","0.06719367588932806","0.06719367588932806","0.06719367588932806","4376","4376","4376"
"82","0.076","0.076","0.076","4430","4430","4430"
"83","0.07114624505928854","0.07114624505928854","0.07114624505928854","4484","4484","4484"
"84","0.08032128514056225","0.08032128514056225","0.08032128514056225","4538","4538","4538"
"85","0.07058823529411765","0.07058823529411765","0.07058823529411765","4592","4592","4592"
"86","0.08300395256916997","0.08300395256916997","0.08300395256916997","4646","4646","4646"
"87","0.068","0.068","0.068","4700","4700","4700"
"88","0.07905138339920949","0.07905138339920949","0.07905138339920949","4754","4754","4754"
"89","0.05928853754940711","0.05928853754940711","0.05928853754940711","4808","4808","4808"
"90","0.06854838709677419","0.06854838709677419","0.06854838709677419","4862","4862","4862"
"91","0.08695652173913043","0.08695652173913043","0.08695652173913043","4916","4916","4916"
"92","0.08661417322834646","0.08661417322834646","0.08661417322834646","4970","4970","4970"
"93","0.0642570281124498","0.0642570281124498","0.0642570281124498","5024","5024","5024"
"94","0.06504065040650407","0.06504065040650407","0.06504065040650407","5078","5078","5078"
"95","0.06349206349206349","0.06349206349206349","0.06349206349206349","5132","5132","5132"
"96","0.06374501992031872","0.06374501992031872","0.06374501992031872","5186","5186","5186"
"97","0.07569721115537849","0.07569721115537849","0.07569721115537849","5240","5240","5240"
"98","0.07142857142857142","0.07142857142857142","0.07142857142857142","5294","5294","5294"
"99","0.08627450980392157","0.08627450980392157","0.08627450980392157","5348","5348","5348"
"100","0.0642570281124498","0.0642570281124498","0.0642570281124498","5402","5402","5402"
"101","0.08366533864541832","0.08366533864541832","0.08366533864541832","5456","5456","5456"
"102","0.07086614173228346","0.07086614173228346","0.07086614173228346","5510","5510","5510"
"103","0.07936507936507936","0.07936507936507936","0.07936507936507936","5564","5564","5564"
"104","0.06048387096774194","0.06048387096774194","0.06048387096774194","5618","5618","5618"
"105","0.07114624505928854","0.07114624505928854","0.07114624505928854","5672","5672","5672"
"106","0.06692913385826772","0.06692913385826772","0.06692913385826772","5726","5726","5726"
"107","0.06640625","0.06640625","0.06640625","5780","5780","5780"
"108","0.06827309236947791","0.06827309236947791","0.06827309236947791","5834","5834","5834"
"109","0.06854838709677419","0.06854838709677419","0.06854838709677419","5888","5888","5888"
"110","0.078125","0.078125","0.078125","5942","5942","5942"
"111","0.051181102362204724","0.051181102362204724","0.051181102362204724","5996","5996","5996"
"112","0.0784313725490196","0.0784313725490196","0.0784313725490196","6050","6050","6050"
"113","0.08267716535433071","0.08267716535433071","0.08267716535433071","6104","6104","6104"
"114","0.06324110671936758","0.06324110671936758","0.06324110671936758","6158","6158","6158"
"115","0.07905138339920949","0.07905138339920949","0.07905138339920949","6212","6212","6212"
"116","0.05952380952380952","0.05952380952380952","0.05952380952380952","6266","6266","6266"
"117","0.06640625","0.06640625","0.06640625","6320","6320","6320"
"118","0.07539682539682539","0.07539682539682539","0.07539682539682539","6374","6374","6374"
"119","0.06827309236947791","0.06827309236947791","0.06827309236947791","6428","6428","6428"
"120","0.06349206349206349","0.06349206349206349","0.06349206349206349","6482","6482","6482"
"121","0.064","0.064","0.064","6536","6536","6536"
"122","0.07114624505928854","0.07114624505928854","0.07114624505928854","6590","6590","6590"
"123","0.07630522088353414","0.07630522088353414","0.07630522088353414","6644","6644","6644"
"124","0.06746031746031746","0.06746031746031746","0.06746031746031746","6698","6698","6698"
"125","0.07142857142857142","0.07142857142857142","0.07142857142857142","6752","6752","6752"
"126","0.09486166007905138","0.09486166007905138","0.09486166007905138","6806","6806","6806"
"127","0.06746031746031746","0.06746031746031746","0.06746031746031746","6860","6860","6860"
"128","0.07936507936507936","0.07936507936507936","0.07936507936507936","6914","6914","6914"
"129","0.068","0.068","0.068","6968","6968","6968"
"130","0.07086614173228346","0.07086614173228346","0.07086614173228346","7022","7022","7022"
"131","0.06746031746031746","0.06746031746031746","0.06746031746031746","7076","7076","7076"
"132","0.07058823529411765","0.07058823529411765","0.07058823529411765","7130","7130","7130"
"133","0.06299212598425197","0.06299212598425197","0.06299212598425197","7184","7184","7184"
"134","0.064","0.064","0.064","7238","7238","7238"
"135","0.068","0.068","0.068","7292","7292","7292"
"136","0.06274509803921569","0.06274509803921569","0.06274509803921569","7346","7346","7346"
"137","0.0546875","0.0546875","0.0546875","7400","7400","7400"
"138","0.06827309236947791","0.06827309236947791","0.06827309236947791","7454","7454","7454"
"139","0.07421875","0.07421875","0.07421875","7508","7508","7508"
"140","0.07058823529411765","0.07058823529411765","0.07058823529411765","7562","7562","7562"
"141","0.05138339920948617","0.05138339920948617","0.05138339920948617","7616","7616","7616"
"142","0.06324110671936758","0.06324110671936758","0.06324110671936758","7670","7670","7670"
"143","0.0796812749003984","0.0796812749003984","0.0796812749003984","7724","7724","7724"
"144","0.06324110671936758","0.06324110671936758","0.06324110671936758","7778","7778","7778"
"145","0.06746031746031746","0.06746031746031746","0.06746031746031746","7832","7832","7832"
"146","0.07058823529411765","0.07058823529411765","0.07058823529411765","7886","7886","7886"
"147","0.05511811023622047","0.05511811023622047","0.05511811023622047","7940","7940","7940"
"148","0.07114624505928854","0.07114624505928854","0.07114624505928854","7994","7994","7994"
"149","0.06299212598425197","0.06299212598425197","0.06299212598425197","8048","8048","8048"
"150","0.06324110671936758","0.06324110671936758","0.06324110671936758","8102","8102","8102"
"151","0.06640625","0.06640625","0.06640625","8156","8156","8156"
"152","0.06772908366533864","0.06772908366533864","0.06772908366533864","8210","8210","8210"
"153","0.06324110671936758","0.06324110671936758","0.06324110671936758","8264","8264","8264"
"154","0.07228915662650602","0.07228915662650602","0.07228915662650602","8318","8318","8318"
"155","0.07569721115537849","0.07569721115537849","0.07569721115537849","8372","8372","8372"
"156","0.05511811023622047","0.05511811023622047","0.05511811023622047","8426","8426","8426"
"157","0.08300395256916997","0.08300395256916997","0.08300395256916997","8480","8480","8480"
"158","0.0625","0.0625","0.0625","8534","8534","8534"
"159","0.06374501992031872","0.06374501992031872","0.06374501992031872","8588","8588","8588"
"160","0.07421875","0.07421875","0.07421875","8642","8642","8642"
"161","0.072","0.072","0.072","8696","8696","8696"
"162","0.05555555555555555","0.05555555555555555","0.05555555555555555","8750","8750","8750"
"163","0.05976095617529881","0.05976095617529881","0.05976095617529881","8804","8804","8804"
"164","0.06719367588932806","0.06719367588932806","0.06719367588932806","8858","8858","8858"
"165","0.06719367588932806","0.06719367588932806","0.06719367588932806","8912","8912","8912"
