"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"0","1.8273120337310758","1.8273120337310758","1.8273120337310758","2","2","2"
"1","19.677761803204614","19.677761803204614","19.677761803204614","56","56","56"
"2","9.392780549484986","9.392780549484986","9.392780549484986","110","110","110"
"3","5.005450043798688","5.005450043798688","5.005450043798688","164","164","164"
"4","7.372323722308405","7.372323722308405","7.372323722308405","218","218","218"
"5","6.550021312980038","6.550021312980038","6.550021312980038","272","272","272"
"6","6.42006868384288","6.42006868384288","6.42006868384288","326","326","326"
"7","11.811981315132309","11.811981315132309","11.811981315132309","380","380","380"
"8","5.5817080010180735","5.5817080010180735","5.5817080010180735","434","434","434"
"9","32.398018941180304","32.398018941180304","32.398018941180304","488","488","488"
"10","12.332455953403578","12.332455953403578","12.332455953403578","542","542","542"
"11","13.89102604765047","13.89102604765047","13.89102604765047","596","596","596"
"12","4.749988915784203","4.749988915784203","4.749988915784203","650","650","650"
"13","4.047725663025562","4.047725663025562","4.047725663025562","704","704","704"
"14","6.947612427684653","6.947612427684653","6.947612427684653","758","758","758"
"15","4.164719381909858","4.164719381909858","4.164719381909858","812","812","812"
"16","8.87141061506825","8.87141061506825","8.87141061506825","866","866","866"
"17","19.400613460357928","19.400613460357928","19.400613460357928","920","920","920"
"18","1.64665747417712","1.64665747417712","1.64665747417712","974","974","974"
"19","3.9199862744019622","3.9199862744019622","3.9199862744019622","1028","1028","1028"
"20","27.793264811754085","27.793264811754085","27.793264811754085","1082","1082","1082"
"21","4.684915019053186","4.684915019053186","4.684915019053186","1136","1136","1136"
"22","8.665837816317865","8.665837816317865","8.665837816317865","1190","1190","1190"
"23","7.8046587112822445","7.8046587112822445","7.8046587112822445","1244","1244","1244"
"24","30.166650779300372","30.166650779300372","30.166650779300372","1298","1298","1298"
"25","3.9879714172747365","3.9879714172747365","3.9879714172747365","1352","1352","1352"
"26","10.094798667183248","10.094798667183248","10.094798667183248","1406","1406","1406"
"27","7.633578553353377","7.633578553353377","7.633578553353377","1460","1460","1460"
"28","13.466706763237774","13.466706763237774","13.466706763237774","1514","1514","1514"
"29","NaN","","","1568","1568","1568"
"30","2.940650452976478","2.940650452976478","2.940650452976478","1622","1622","1622"
"31","2.736116319149303","2.736116319149303","2.736116319149303","1676","1676","1676"
"32","8.678988165624284","8.678988165624284","8.678988165624284","1730","1730","1730"
"33","2.9802233787187076","2.9802233787187076","2.9802233787187076","1784","1784","1784"
"34","2.6466353962445517","2.6466353962445517","2.6466353962445517","1838","1838","1838"
"35","14.64129641322192","14.64129641322192","14.64129641322192","1892","1892","1892"
"36","2.200130162529382","2.200130162529382","2.200130162529382","1946","1946","1946"
"37","5.395605650108862","5.395605650108862","5.395605650108862","2000","2000","2000"
"38","3.8452842016513284","3.8452842016513284","3.8452842016513284","2054","2054","2054"
"39","3.7649830621575884","3.7649830621575884","3.7649830621575884","2108","2108","2108"
"40","3.826972324574725","3.826972324574725","3.826972324574725","2162","2162","2162"
"41","3.4697340379210853","3.4697340379210853","3.4697340379210853","2216","2216","2216"
"42","2.7667195166085627","2.7667195166085627","2.7667195166085627","2270","2270","2270"
"43","8.13730328717372","8.13730328717372","8.13730328717372","2324","2324","2324"
"44","6.147193524825578","6.147193524825578","6.147193524825578","2378","2378","2378"
"45","15.898516054624222","15.898516054624222","15.898516054624222","2432","2432","2432"
"46","5.031006411832389","5.031006411832389","5.031006411832389","2486","2486","2486"
"47","4.2291611788609575","4.2291611788609575","4.2291611788609575","2540","2540","2540"
"48","6.541918399969252","6.541918399969252","6.541918399969252","2594","2594","2594"
"49","6.262781976287425","6.262781976287425","6.262781976287425","2648","2648","2648"
"50","6.160331706220478","6.160331706220478","6.160331706220478","2702","2702","2702"
"51","8.27593574274252","8.27593574274252","8.27593574274252","2756","2756","2756"
"52","7.860282968375003","7.860282968375003","7.860282968375003","2810","2810","2810"
"53","12.076168188806342","12.076168188806342","12.076168188806342","2864","2864","2864"
"54","4.482332717212425","4.482332717212425","4.482332717212425","2918","2918","2918"
"55","5.834563890174788","5.834563890174788","5.834563890174788","2972","2972","2972"
"56","2.15176812380321","2.15176812380321","2.15176812380321","3026","3026","3026"
"57","2.7937592176785406","2.7937592176785406","2.7937592176785406","3080","3080","3080"
"58","4.021655594491591","4.021655594491591","4.021655594491591","3134","3134","3134"
"59","4.715986131319408","4.715986131319408","4.715986131319408","3188","3188","3188"
"60","4.906704064646885","4.906704064646885","4.906704064646885","3242","3242","3242"
"61","7.71367848165451","7.71367848165451","7.71367848165451","3296","3296","3296"
"62","7.059975891412619","7.059975891412619","7.059975891412619","3350","3350","3350"
"63","4.731184724955059","4.731184724955059","4.731184724955059","3404","3404","3404"
"64","4.450484931113256","4.450484931113256","4.450484931113256","3458","3458","3458"
"65","9.549803501528759","9.549803501528759","9.549803501528759","3512","3512","3512"
"66","12.778035100807838","12.778035100807838","12.778035100807838","3566","3566","3566"
"67","12.28538335463887","12.28538335463887","12.28538335463887","3620","3620","3620"
"68","6.587215208747331","6.587215208747331","6.587215208747331","3674","3674","3674"
"69","1.3381664391952954","1.3381664391952954","1.3381664391952954","3728","3728","3728"
"70","4.054719310327353","4.054719310327353","4.054719310327353","3782","3782","3782"
"71","2.5745198984877535","2.5745198984877535","2.5745198984877535","3836","3836","3836"
