"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_mean_all","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_mean_all__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_mean_all__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"0","-47.475174373757866","-47.475174373757866","-47.475174373757866","2","2","2"
"1","-53.14663175004674","-53.14663175004674","-53.14663175004674","56","56","56"
"2","-49.494361484323804","-49.494361484323804","-49.494361484323804","110","110","110"
"3","-46.34318830928025","-46.34318830928025","-46.34318830928025","164","164","164"
"4","-53.584571169206825","-53.584571169206825","-53.584571169206825","218","218","218"
"5","-50.16278781996124","-50.16278781996124","-50.16278781996124","272","272","272"
"6","-43.03081765197288","-43.03081765197288","-43.03081765197288","326","326","326"
"7","-43.04708519946212","-43.04708519946212","-43.04708519946212","380","380","380"
"8","-46.176377007356834","-46.176377007356834","-46.176377007356834","434","434","434"
"9","-59.08641149889271","-59.08641149889271","-59.08641149889271","488","488","488"
"10","-29.897348309615264","-29.897348309615264","-29.897348309615264","542","542","542"
"11","-30.935902681488386","-30.935902681488386","-30.935902681488386","596","596","596"
"12","-32.32487528107684","-32.32487528107684","-32.32487528107684","650","650","650"
"13","-34.9520131649342","-34.9520131649342","-34.9520131649342","704","704","704"
"14","-42.398518461137556","-42.398518461137556","-42.398518461137556","758","758","758"
"15","-35.92098462030434","-35.92098462030434","-35.92098462030434","812","812","812"
"16","-28.72058045491221","-28.72058045491221","-28.72058045491221","866","866","866"
"17","-42.20836856055814","-42.20836856055814","-42.20836856055814","920","920","920"
"18","-27.116144370337096","-27.116144370337096","-27.116144370337096","974","974","974"
"19","-32.07157467468335","-32.07157467468335","-32.07157467468335","1028","1028","1028"
"20","-40.83274652789311","-40.83274652789311","-40.83274652789311","1082","1082","1082"
"21","-32.270946806106394","-32.270946806106394","-32.270946806106394","1136","1136","1136"
"22","-34.07411063418027","-34.07411063418027","-34.07411063418027","1190","1190","1190"
"23","-29.41953613131121","-29.41953613131121","-29.41953613131121","1244","1244","1244"
"24","-26.74360319445382","-26.74360319445382","-26.74360319445382","1298","1298","1298"
"25","-24.62334339211428","-24.62334339211428","-24.62334339211428","1352","1352","1352"
"26","-33.605082573587424","-33.605082573587424","-33.605082573587424","1406","1406","1406"
"27","-22.32151648796678","-22.32151648796678","-22.32151648796678","1460","1460","1460"
"28","-29.286009418534377","-29.286009418534377","-29.286009418534377","1514","1514","1514"
"29","-30.077172480322844","-30.077172480322844","-30.077172480322844","1568","1568","1568"
"30","-16.664046052077534","-16.664046052077534","-16.664046052077534","1622","1622","1622"
"31","-22.729812377455048","-22.729812377455048","-22.729812377455048","1676","1676","1676"
"32","-17.244633162919456","-17.244633162919456","-17.244633162919456","1730","1730","1730"
"33","-14.169163127316107","-14.169163127316107","-14.169163127316107","1784","1784","1784"
"34","-14.545253375450883","-14.545253375450883","-14.545253375450883","1838","1838","1838"
"35","-24.107887058680397","-24.107887058680397","-24.107887058680397","1892","1892","1892"
"36","-18.492857863601408","-18.492857863601408","-18.492857863601408","1946","1946","1946"
"37","-17.324098634393927","-17.324098634393927","-17.324098634393927","2000","2000","2000"
"38","-16.08429344835992","-16.08429344835992","-16.08429344835992","2054","2054","2054"
"39","-20.588160101835246","-20.588160101835246","-20.588160101835246","2108","2108","2108"
"40","-12.215676869712278","-12.215676869712278","-12.215676869712278","2162","2162","2162"
"41","-14.27189829229291","-14.27189829229291","-14.27189829229291","2216","2216","2216"
"42","-13.843194321568278","-13.843194321568278","-13.843194321568278","2270","2270","2270"
"43","-13.125882525860542","-13.125882525860542","-13.125882525860542","2324","2324","2324"
"44","-12.779992080784199","-12.779992080784199","-12.779992080784199","2378","2378","2378"
"45","-14.945848962816315","-14.945848962816315","-14.945848962816315","2432","2432","2432"
"46","-10.169563378998602","-10.169563378998602","-10.169563378998602","2486","2486","2486"
"47","-12.062330518872985","-12.062330518872985","-12.062330518872985","2540","2540","2540"
"48","-13.094912529196883","-13.094912529196883","-13.094912529196883","2594","2594","2594"
"49","-13.787777015775504","-13.787777015775504","-13.787777015775504","2648","2648","2648"
"50","-2.847131891821717","-2.847131891821717","-2.847131891821717","2702","2702","2702"
"51","-7.525453360646106","-7.525453360646106","-7.525453360646106","2756","2756","2756"
"52","-4.004763196055431","-4.004763196055431","-4.004763196055431","2810","2810","2810"
"53","-11.182553262331693","-11.182553262331693","-11.182553262331693","2864","2864","2864"
"54","-5.239781758625394","-5.239781758625394","-5.239781758625394","2918","2918","2918"
"55","-5.612712886678679","-5.612712886678679","-5.612712886678679","2972","2972","2972"
"56","-2.8740182593457915","-2.8740182593457915","-2.8740182593457915","3026","3026","3026"
"57","-3.4537788135683103","-3.4537788135683103","-3.4537788135683103","3080","3080","3080"
"58","-4.391580376456776","-4.391580376456776","-4.391580376456776","3134","3134","3134"
"59","-4.848435055544499","-4.848435055544499","-4.848435055544499","3188","3188","3188"
"60","-5.277337573852344","-5.277337573852344","-5.277337573852344","3242","3242","3242"
"61","-7.178286276892482","-7.178286276892482","-7.178286276892482","3296","3296","3296"
"62","-3.5309798255882723","-3.5309798255882723","-3.5309798255882723","3350","3350","3350"
"63","-5.095043391326584","-5.095043391326584","-5.095043391326584","3404","3404","3404"
"64","-5.070298876012106","-5.070298876012106","-5.070298876012106","3458","3458","3458"
"65","-8.279557531606434","-8.279557531606434","-8.279557531606434","3512","3512","3512"
"66","-4.7793735754103235","-4.7793735754103235","-4.7793735754103235","3566","3566","3566"
"67","-4.603033763433501","-4.603033763433501","-4.603033763433501","3620","3620","3620"
"68","-6.646056999068075","-6.646056999068075","-6.646056999068075","3674","3674","3674"
"69","-2.542117552921319","-2.542117552921319","-2.542117552921319","3728","3728","3728"
"70","-4.5580410827744915","-4.5580410827744915","-4.5580410827744915","3782","3782","3782"
"71","-3.538720382105961","-3.538720382105961","-3.538720382105961","3836","3836","3836"
"72","-8.320349284708534","-8.320349284708534","-8.320349284708534","3890","3890","3890"
"73","-4.821831395881898","-4.821831395881898","-4.821831395881898","3944","3944","3944"
"74","-7.415944635734058","-7.415944635734058","-7.415944635734058","3998","3998","3998"
"75","-2.821436281600106","-2.821436281600106","-2.821436281600106","4052","4052","4052"
"76","-7.276591740292446","-7.276591740292446","-7.276591740292446","4106","4106","4106"
"77","-3.6562786934958122","-3.6562786934958122","-3.6562786934958122","4160","4160","4160"
"78","-3.4994928200532676","-3.4994928200532676","-3.4994928200532676","4214","4214","4214"
"79","-3.112670085225888","-3.112670085225888","-3.112670085225888","4268","4268","4268"
"80","-3.7690600520123976","-3.7690600520123976","-3.7690600520123976","4322","4322","4322"
"81","-4.855343027571966","-4.855343027571966","-4.855343027571966","4376","4376","4376"
"82","-5.986143910185403","-5.986143910185403","-5.986143910185403","4430","4430","4430"
"83","-2.986908919866645","-2.986908919866645","-2.986908919866645","4484","4484","4484"
"84","-5.932739489767365","-5.932739489767365","-5.932739489767365","4538","4538","4538"
"85","-3.147874933491008","-3.147874933491008","-3.147874933491008","4592","4592","4592"
"86","-2.9093824953236354","-2.9093824953236354","-2.9093824953236354","4646","4646","4646"
"87","-3.315570518118998","-3.315570518118998","-3.315570518118998","4700","4700","4700"
"88","-6.746879452764576","-6.746879452764576","-6.746879452764576","4754","4754","4754"
"89","-3.8292403753076636","-3.8292403753076636","-3.8292403753076636","4808","4808","4808"
"90","-4.155467258547221","-4.155467258547221","-4.155467258547221","4862","4862","4862"
"91","-3.837171481093868","-3.837171481093868","-3.837171481093868","4916","4916","4916"
"92","-4.909318687728272","-4.909318687728272","-4.909318687728272","4970","4970","4970"
"93","-3.8005979531662106","-3.8005979531662106","-3.8005979531662106","5024","5024","5024"
"94","-3.8234733969527905","-3.8234733969527905","-3.8234733969527905","5078","5078","5078"
"95","-3.229489869839256","-3.229489869839256","-3.229489869839256","5132","5132","5132"
"96","-4.5128266226839235","-4.5128266226839235","-4.5128266226839235","5186","5186","5186"
"97","-4.414203924628432","-4.414203924628432","-4.414203924628432","5240","5240","5240"
"98","-2.120543515179289","-2.120543515179289","-2.120543515179289","5294","5294","5294"
"99","-3.191268156879201","-3.191268156879201","-3.191268156879201","5348","5348","5348"
"100","-3.022828710418493","-3.022828710418493","-3.022828710418493","5402","5402","5402"
"101","-6.185063780134339","-6.185063780134339","-6.185063780134339","5456","5456","5456"
"102","-8.529563646753449","-8.529563646753449","-8.529563646753449","5510","5510","5510"
"103","-5.114033142473924","-5.114033142473924","-5.114033142473924","5564","5564","5564"
"104","-5.0094142988048205","-5.0094142988048205","-5.0094142988048205","5618","5618","5618"
"105","-2.39781427958998","-2.39781427958998","-2.39781427958998","5672","5672","5672"
"106","-5.462606919591197","-5.462606919591197","-5.462606919591197","5726","5726","5726"
"107","-2.4604659852580744","-2.4604659852580744","-2.4604659852580744","5780","5780","5780"
"108","-3.6849024267272417","-3.6849024267272417","-3.6849024267272417","5834","5834","5834"
"109","-2.6816157756083703","-2.6816157756083703","-2.6816157756083703","5888","5888","5888"
"110","-2.7818222551664","-2.7818222551664","-2.7818222551664","5942","5942","5942"
"111","-2.984962635560731","-2.984962635560731","-2.984962635560731","5996","5996","5996"
"112","-7.000397838420825","-7.000397838420825","-7.000397838420825","6050","6050","6050"
"113","-4.047224332477041","-4.047224332477041","-4.047224332477041","6104","6104","6104"
"114","-4.36272174889668","-4.36272174889668","-4.36272174889668","6158","6158","6158"
"115","-1.8800240860647182","-1.8800240860647182","-1.8800240860647182","6212","6212","6212"
"116","-4.890285009914139","-4.890285009914139","-4.890285009914139","6266","6266","6266"
"117","-6.110134353001834","-6.110134353001834","-6.110134353001834","6320","6320","6320"
"118","-2.5686565517337963","-2.5686565517337963","-2.5686565517337963","6374","6374","6374"
"119","-3.3946137693434904","-3.3946137693434904","-3.3946137693434904","6428","6428","6428"
"120","-2.9264311659915805","-2.9264311659915805","-2.9264311659915805","6482","6482","6482"
"121","-3.996016073903216","-3.996016073903216","-3.996016073903216","6536","6536","6536"
"122","-3.4023428088277496","-3.4023428088277496","-3.4023428088277496","6590","6590","6590"
"123","-3.5927872963713097","-3.5927872963713097","-3.5927872963713097","6644","6644","6644"
"124","-4.203812571125958","-4.203812571125958","-4.203812571125958","6698","6698","6698"
"125","-5.274162957539113","-5.274162957539113","-5.274162957539113","6752","6752","6752"
"126","-8.211590756367986","-8.211590756367986","-8.211590756367986","6806","6806","6806"
"127","-2.4767789655207166","-2.4767789655207166","-2.4767789655207166","6860","6860","6860"
"128","-3.691911627742603","-3.691911627742603","-3.691911627742603","6914","6914","6914"
"129","-8.092137319215276","-8.092137319215276","-8.092137319215276","6968","6968","6968"
"130","-6.7048054764020355","-6.7048054764020355","-6.7048054764020355","7022","7022","7022"
"131","-7.1963336610039565","-7.1963336610039565","-7.1963336610039565","7076","7076","7076"
"132","-2.498418105646751","-2.498418105646751","-2.498418105646751","7130","7130","7130"
"133","-3.6722553497396824","-3.6722553497396824","-3.6722553497396824","7184","7184","7184"
"134","-4.743171783609233","-4.743171783609233","-4.743171783609233","7238","7238","7238"
"135","-5.730623281152926","-5.730623281152926","-5.730623281152926","7292","7292","7292"
"136","-2.2837367635677914","-2.2837367635677914","-2.2837367635677914","7346","7346","7346"
"137","-2.172772568829045","-2.172772568829045","-2.172772568829045","7400","7400","7400"
"138","-3.3081523789834577","-3.3081523789834577","-3.3081523789834577","7454","7454","7454"
"139","-3.6484966986547733","-3.6484966986547733","-3.6484966986547733","7508","7508","7508"
"140","-3.405895093619135","-3.405895093619135","-3.405895093619135","7562","7562","7562"
